Competition,Date,Team,Athlete,Results,Rank,Year,Event_ID,Padronizado
9th FINA World Championships 2001,2001-07-25,SWE,Johanna SJOBERG,55.42,7,2001,9th FINA World Championships 2001 - Fukuoka,0.7076151619993553
9th FINA World Championships 2001,2001-07-25,AUS,Sarah RYAN,55.53,8,2001,9th FINA World Championships 2001 - Fukuoka,0.9714716630838577
7th FINA World Championships 1994,1994-09-05,DEN,Mette JACOBSEN,55.57,5,1994,7th FINA World Championships 1994 - Rome,0.600729769756028
6th FINA World Championships 1991,1991-01-07,CHN,Yong ZHUANG,55.65,3,1991,6th FINA World Championships 1991 - Perth,-0.7161147986627387
3rd FINA World Championships 1978,1978-08-28,GDR,Barbara KRAUSE,55.68,1,1978,3rd FINA World Championships 1978 - West Berlin,-2.000347602929135
5th FINA World Championships 1986,1986-08-17,USA,Jenna JOHNSON,55.7,2,1986,5th FINA World Championships 1986 - Madrid,-0.5933857268322646
7th FINA World Championships 1994,1994-09-05,USA,Angel MARTINO,55.77,6,1994,7th FINA World Championships 1994 - Rome,0.8714812152798745
7th FINA World Championships 1994,1994-09-05,GBR,Karen PICKERING,55.79,7,1994,7th FINA World Championships 1994 - Rome,0.8985563598322535
7th FINA World Championships 1994,1994-09-05,JPN,Suzu CHIBA,55.79,7,1994,7th FINA World Championships 1994 - Rome,0.8985563598322535
4th FINA World Championships 1982,1982-08-01,GDR,Birgit MEINEKE-HEUKRODT,55.79,1,1982,4th FINA World Championships 1982 - Guayaquil,-1.5340638031768856
5th FINA World Championships 1986,1986-08-17,NED,Conny VAN BENTUM,55.79,3,1986,5th FINA World Championships 1986 - Madrid,-0.4564505591017478
5th FINA World Championships 1986,1986-08-17,GDR,Manuela STELLMACH,55.86,4,1986,5th FINA World Championships 1986 - Madrid,-0.34994542864467443
4th FINA World Championships 1982,1982-08-01,NED,Annemarie VERSTAPPEN,55.87,2,1982,4th FINA World Championships 1982 - Guayaquil,-1.353585708685491
5th FINA World Championships 1986,1986-08-17,ROU,Tamara COSTACHE,56.03,5,1986,5th FINA World Championships 1986 - Madrid,-0.09129011182035172
8th FINA World Championships 1998,1998-01-08,GBR,Sue ROLPH,56.03,6,1998,8th FINA World Championships 1998 - Perth,0.6964070240604348
4th FINA World Championships 1982,1982-08-01,USA,Jill STERKEL,56.27,3,1982,4th FINA World Championships 1982 - Guayaquil,-0.45119523622848634
5th FINA World Championships 1986,1986-08-17,USA,Mary T MEAGHER,56.33,6,1986,5th FINA World Championships 1986 - Madrid,0.3651604472813853
6th FINA World Championships 1991,1991-01-07,NED,Karin BRIENESSE,56.34,4,1991,6th FINA World Championships 1991 - Perth,0.4165366880473675
6th FINA World Championships 1991,1991-01-07,GER,Manuela STELLMACH,56.45,5,1991,6th FINA World Championships 1991 - Perth,0.5971043163634692
8th FINA World Championships 1998,1998-01-08,JPN,Sumika MINAMOTO,56.48,7,1998,8th FINA World Championships 1998 - Perth,1.3889664955017436
8th FINA World Championships 1998,1998-01-08,NED,Inge DE BRUIJN,56.49,8,1998,8th FINA World Championships 1998 - Perth,1.4043567059782252
6th FINA World Championships 1991,1991-01-07,GER,Simone OSYGUS,56.55,6,1991,6th FINA World Championships 1991 - Perth,0.761256705741735
6th FINA World Championships 1991,1991-01-07,URS,Yevgeniya YERMAKOVA,56.56,7,1991,6th FINA World Championships 1991 - Perth,0.7776719446795709
2nd FINA World Championships 1975,1975-07-22,GDR,Kornelia ENDER,56.6,1,1975,2nd FINA World Championships 1975 - Cali,-1.8653118586131887
4th FINA World Championships 1982,1982-08-01,FRG,Karin SEICK,56.61,4,1982,4th FINA World Championships 1982 - Guayaquil,0.3158366653599484
6th FINA World Championships 1991,1991-01-07,USA,Julie COOPER,56.66,8,1991,6th FINA World Championships 1991 - Perth,0.9418243340578367
4th FINA World Championships 1982,1982-08-01,URS,Irina GERASIMOVA,56.69,5,1982,4th FINA World Championships 1982 - Guayaquil,0.496314759851343
4th FINA World Championships 1982,1982-08-01,GDR,Caren METSCHUCK,56.71,6,1982,4th FINA World Championships 1982 - Guayaquil,0.5414342834741996
3rd FINA World Championships 1978,1978-08-28,NOR,Lene JENSSEN,56.82,2,1978,3rd FINA World Championships 1978 - West Berlin,-0.35977474872825316
3rd FINA World Championships 1978,1978-08-28,URS,Larisa TSARYOVA,56.85,3,1978,3rd FINA World Championships 1978 - West Berlin,-0.31660177888085994
4th FINA World Championships 1982,1982-08-01,SWE,Agneta ERIKSSON,56.9,7,1982,4th FINA World Championships 1982 - Guayaquil,0.9700697578912657
4th FINA World Championships 1982,1982-08-01,USA,Kathy TREIBLE,56.92,8,1982,4th FINA World Championships 1982 - Guayaquil,1.0151892815141224
5th FINA World Championships 1986,1986-08-17,FRG,Iris ZSCHERPE,56.95,7,1986,5th FINA World Championships 1986 - Madrid,1.3084916027583244
3rd FINA World Championships 1978,1978-08-28,USA,Stephanie ELKINS,56.98,4,1978,3rd FINA World Championships 1978 - West Berlin,-0.1295189095421695
5th FINA World Championships 1986,1986-08-17,NED,Annemarie VERSTAPPEN,57.01,8,1986,5th FINA World Championships 1986 - Madrid,1.3997817145786653
3rd FINA World Championships 1978,1978-08-28,NED,Enith BRIGITHA,57.17,5,1978,3rd FINA World Championships 1978 - West Berlin,0.14390989949131763
3rd FINA World Championships 1978,1978-08-28,GDR,Heike WITT,57.49,6,1978,3rd FINA World Championships 1978 - West Berlin,0.6044215778634952
1st FINA World Championships 1973,1973-09-08,GDR,Kornelia ENDER,57.54,1,1973,1st FINA World Championships 1973 - Belgrade,-1.6666843943585135
3rd FINA World Championships 1978,1978-08-28,SWE,Birgitta JONSSON,57.54,7,1978,3rd FINA World Championships 1978 - West Berlin,0.6763765276091438
2nd FINA World Championships 1975,1975-07-22,USA,Shirley BABASHOFF,57.81,2,1975,2nd FINA World Championships 1975 - Cali,-0.4943005608625634
3rd FINA World Championships 1978,1978-08-28,NZL,Rebecca PERROTT,58.03,8,1978,3rd FINA World Championships 1978 - West Berlin,1.3815350351165427
2nd FINA World Championships 1975,1975-07-22,NED,Enith BRIGITHA,58.2,3,1975,2nd FINA World Championships 1975 - Cali,-0.052404357455336704
2nd FINA World Championships 1975,1975-07-22,USA,Kathy HEDDY,58.21,4,1975,2nd FINA World Championships 1975 - Cali,-0.0410736855731024
2nd FINA World Championships 1975,1975-07-22,GDR,Barbara KRAUSE,58.22,5,1975,2nd FINA World Championships 1975 - Cali,-0.029743013690868084
2nd FINA World Championships 1975,1975-07-22,FRG,Jutta WEBER-MEEUW,58.33,6,1975,2nd FINA World Championships 1975 - Cali,0.09489437701373349
1st FINA World Championships 1973,1973-09-08,USA,Shirley BABASHOFF,58.87,2,1973,1st FINA World Championships 1973 - Belgrade,-0.4107692416690974
1st FINA World Championships 1973,1973-09-08,NED,Enith BRIGITHA,58.87,3,1973,1st FINA World Championships 1973 - Belgrade,-0.4107692416690974
2nd FINA World Championships 1975,1975-07-22,CAN,Anne JARDIN,58.9,7,1975,2nd FINA World Championships 1975 - Cali,0.740742674301218
1st FINA World Championships 1973,1973-09-08,GDR,Andrea EIFE,58.93,4,1973,1st FINA World Championships 1973 - Belgrade,-0.35411141523197864
1st FINA World Championships 1973,1973-09-08,FRA,Guylaine BERGER,59.51,5,1973,1st FINA World Championships 1973 - Belgrade,0.19358090699348005
1st FINA World Championships 1973,1973-09-08,FRG,Jutta WEBER-MEEUW,59.58,6,1973,1st FINA World Championships 1973 - Belgrade,0.2596817045034497
2nd FINA World Championships 1975,1975-07-22,URS,Lyubov KOBZOVA,59.7,8,1975,2nd FINA World Championships 1975 - Cali,1.647196424880148
1st FINA World Championships 1973,1973-09-08,USA,Kathy HEDDY,59.9,7,1973,1st FINA World Championships 1973 - Belgrade,0.5618567788347384
1st FINA World Championships 1973,1973-09-08,SUI,Francoise MONOD,61.24,8,1973,1st FINA World Championships 1973 - Belgrade,1.827214902597012
