Rank,Event,Swim Time,Name,Gender,Team,Swimmer Country,Meet,Swim Date
33,1500 FR LCM,18:29.20,Sharon Rittenhouse,Female,United States,,1965 National Champs,08/11/1965
34,1500 FR LCM,18:30.50,Patricia Carreto,Female,Unknown,,,07/30/1964
35,1500 FR LCM,18:44.00,Carolyn Helmath,Female,United States,,1962 Women's National Champs,08/16/1962
36,1500 FR LCM,19:23.60,Jane Cederquist,Female,Sweden,Sweden,,09/08/1960
37,1500 FR LCM,19:25.70,Isla Konrads,Female,Australia,Australia,,01/14/1960
38,1500 FR LCM,20:03.10,Jans Koster,Female,Netherlands,Netherlands,,07/27/1957
39,1500 FR LCM,20:22.80,Jans Koster,Female,Netherlands,Netherlands,,08/21/1956
1,50 BK LCM,26.86,Kaylee McKeown,Female,Australia,Australia,World Swimming Cup - Budapest,10/20/2023
2,50 BK LCM,26.98,Xiang Liu,Female,Peoples Republic of China,Peoples Republic of China,18th Asian Games,08/19/2018
3,50 BK LCM,27.06,Jing Zhao,Female,Peoples Republic of China,Peoples Republic of China,2009 World Champs,07/30/2009
4,50 BK LCM,27.38,Anastasia Fesikova,Female,Russia,Russia,2009 World Champs,07/29/2009
5,50 BK LCM,27.39,Daniela Samulski,Female,Germany,Germany,2009 World Champs,07/26/2009
6,50 BK LCM,27.61,Daniela Samulski,Female,Germany,Germany,2008 Olympic Invite,03/15/2008
7,50 BK LCM,27.67,Sophie Edington,Female,Australia,Australia,,03/23/2008
7,50 BK LCM,27.67,Jing Zhao,Female,Peoples Republic of China,Peoples Republic of China,2008 Olympic Invite,03/15/2008
9,50 BK LCM,27.95,Emily Seebohm,Female,Australia,Australia,,03/22/2008
10,50 BK LCM,28.00,Hayley McGregory,Female,United States,United States,2008 ST All-American LC Champions,03/06/2008
11,50 BK LCM,28.09,Ki Yang,Female,Peoples Republic of China,Peoples Republic of China,,10/19/2007
12,50 BK LCM,28.16,Leila Vaziri,Female,United States,,2007 World Champs,03/25/2007
13,50 BK LCM,28.19,Janine Pietsch,Female,Germany,Germany,2005 US European Championships,05/25/2005
14,50 BK LCM,28.25,Sandra Volker,Female,Germany,Germany,,06/17/2000
15,50 BK LCM,28.67,Mai Nakamura,Female,Japan,Japan,,04/25/2000
16,50 BK LCM,28.69,Nina Zhivanevskaya,Female,Spain,Spain,,04/08/2000
17,50 BK LCM,28.71,Sandra Volker,Female,Germany,Germany,,08/01/1999
18,50 BK LCM,28.78,Sandra Volker,Female,Germany,Germany,,06/12/1999
19,50 BK LCM,29.00,Sandra Volker,Female,Germany,Germany,,05/24/1997
1,100 BK LCM,57.13,Regan Smith,Female,United States,United States,2024 Olympic Trials,06/18/2024
2,100 BK LCM,57.33,Kaylee McKeown,Female,Australia,Australia,World Swimming Cup - Budapest,10/21/2023
3,100 BK LCM,57.45,Kaylee McKeown,Female,Australia,Australia,2021 Australian Olympic Trials,06/13/2021
4,100 BK LCM,57.57,Regan Smith,Female,United States,United States,2019 World Champs,07/28/2019
5,100 BK LCM,58.00,Kathleen Baker,Female,United States,United States,2018 Summer Nationals,07/28/2018
6,100 BK LCM,58.10,Kylie Masse,Female,Canada,Canada,2017 World Champs,07/25/2017
7,100 BK LCM,58.12,Gemma Fleming,Female,Great Britain,Great Britain,2009 World Champs,07/28/2009
8,100 BK LCM,58.48,Anastasia Fesikova,Female,Russia,Russia,2009 World Champs,07/27/2009
9,100 BK LCM,58.77,Kirsty Coventry,Female,Zimbabwe,Zimbabwe,2008 Olympic Games,08/11/2008
10,100 BK LCM,58.97,Natalie Coughlin,Female,United States,United States,2008 Olympic Trials,06/30/2008
11,100 BK LCM,59.03,Natalie Coughlin,Female,United States,United States,2008 Olympic Trials,06/29/2008
12,100 BK LCM,59.15,Hayley McGregory,Female,United States,United States,2008 Olympic Trials,06/29/2008
13,100 BK LCM,59.21,Natalie Coughlin,Female,United States,United States,2008 Pro Swim - Missouri,02/15/2008
14,100 BK LCM,59.44,Natalie Coughlin,Female,United States,United States,2007 World Champs,03/25/2007
15,100 BK LCM,59.58,Natalie Coughlin,Female,United States,United States,2002 Summer Nationals,08/12/2002
16,100 BK LCM,1:00.16,Cihong He,Female,Peoples Republic of China,Peoples Republic of China,1994 US World Championships,09/11/1994
17,100 BK LCM,1:00.31,Krisztina Egerszegi,Female,Hungary,Hungary,,08/22/1991
18,100 BK LCM,1:00.59,Ina Kleber,Female,Germany,Germany,,08/24/1984
